,zip,Total Population,Unemployment Rate,Per Capita Income,Percent Insured,hospital facilities,doctors,nml_emp,nml_inc,nml_ins,color_key_inc,color_key_emp,color_key_ins
45,20137,1241,2,55684.0,96.3,,,0.98,0.18677820674942727,0.963,#423f85,#f1e51d,#e7e419
46,20139,212,0,41249.0,74.5,,,1.0,0.1383595691797846,0.745,#46307e,#fde725,#5ac864
47,20141,4542,3,47390.0,97.3,,,0.97,0.1589580349446045,0.973,#453781,#ece51b,#efe51c
48,20143,952,1,66984.0,98.8,,,0.99,0.22468126213820191,0.988,#3e4a89,#f8e621,#f6e620
49,20144,853,1,49188.0,97.7,,,0.99,0.16498898127991574,0.977,#443983,#f8e621,#f1e51d
50,20147,47620,3,52300.0,93.4,,,0.97,0.1754274156489305,0.934,#443b84,#ece51b,#d5e21a
51,20148,31534,3,55866.0,97.0,,,0.97,0.18738868073887477,0.97,#423f85,#ece51b,#ece51b
52,20151,17596,6,43957.0,89.2,,,0.94,0.14744288546233342,0.892,#46337f,#d8e219,#b8de29
53,20152,23016,3,52023.0,95.5,,,0.97,0.17449828765400213,0.955,#443b84,#ece51b,#e2e418
54,20155,25840,3,47217.0,93.7,,,0.97,0.15837774922936043,0.937,#453781,#ece51b,#d5e21a
55,20158,3318,2,53151.0,97.5,,,0.98,0.17828188468750106,0.975,#433d84,#f1e51d,#efe51c
56,20164,32039,4,34881.0,83.3,,,0.96,0.1169996880544999,0.833,#482979,#e5e419,#90d743
57,20165,25991,4,54896.0,95.0,,,0.96,0.18413505563028085,0.95,#423f85,#e5e419,#dfe318
58,20166,7707,3,44818.0,87.8,,,0.97,0.1503308970277967,0.878,#463480,#ece51b,#addc30
59,20169,17554,3,51508.0,95.5,,,0.97,0.172770847519027,0.955,#443b84,#ece51b,#e2e418
60,20170,33094,4,45981.0,87.2,,,0.96,0.15423189290542014,0.872,#453581,#e5e419,#aadc32
61,20171,38391,3,56386.0,94.4,,,0.97,0.18913289213729628,0.9440000000000001,#424086,#ece51b,#dae319
62,20175,25183,4,53591.0,96.1,,,0.96,0.17975775587078077,0.961,#433e85,#e5e419,#e7e419
63,20176,39296,3,51429.0,90.6,,,0.97,0.1725058615565745,0.9059999999999999,#443b84,#ece51b,#c0df25
64,20180,5544,2,47847.0,95.7,,,0.98,0.16049092842360185,0.9570000000000001,#453882,#f1e51d,#e2e418
65,20181,6967,4,44609.0,93.3,,,0.96,0.14962985821573882,0.9329999999999999,#463480,#e5e419,#d2e21b
66,20184,700,4,79457.0,98.5,,,0.96,0.26651885593149277,0.985,#39568c,#e5e419,#f6e620
67,20186,11934,3,43308.0,92.4,,,0.97,0.14526597546699582,0.924,#46337f,#ece51b,#cde11d
68,20187,13151,4,48909.0,93.7,,,0.96,0.16405314477960883,0.937,#453882,#e5e419,#d5e21a
69,20190,16329,2,63886.0,94.3,,,0.98,0.21428978730683698,0.943,#3f4788,#f1e51d,#dae319
70,20191,24163,5,55389.0,91.6,,,0.95,0.185788702206092,0.9159999999999999,#423f85,#dfe318,#c8e020
71,20194,10195,4,74537.0,97.8,,,0.96,0.25001593270027406,0.978,#3b528b,#e5e419,#f1e51d
72,20197,1449,10,63375.0,100.0,,,0.9,0.21257576418261892,1.0,#3f4788,#bddf26,#fde725
73,20198,2036,1,56392.0,90.8,,,0.99,0.1891530176534319,0.9079999999999999,#424086,#f8e621,#c2df23
74,20202,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
75,20204,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
76,20228,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
77,20230,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
78,20240,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
79,20245,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
80,20260,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
81,20307,168,0,39423.0,0.0,2.0,37.0,1.0,0.13223470376917373,0.0,#472e7c,#fde725,#440154
82,20317,440,0,36099.0,95.2,,,1.0,0.12108516783003331,0.9520000000000001,#472a7a,#fde725,#dfe318
83,20319,53,0,20515.0,0.0,1.0,,1.0,0.068812493920417,0.0,#481a6c,#fde725,#440154
84,20373,142,0,21211.0,0.0,,,1.0,0.07114705379215037,0.0,#481b6d,#fde725,#440154
85,20390,540,0,21298.0,0.0,,,1.0,0.07143887377611705,0.0,#481b6d,#fde725,#440154
86,20405,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
87,20418,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
88,20427,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
89,20506,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
90,20510,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
91,20520,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
92,20535,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
